,status,display_name,metadata_level,metadata_group,definition,example,use,conditional,use_condition,accepts_mulitple_values,validation,published_terms
36,Core,Distributor or Publisher,Model,Access,"The organization sharing, publishing, or otherwise responsible for providing access to the digital object.",US Geological Survey,Recommended,Yes,Distribution URL,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/organization.csv
41,Core,Horizontal Coordinate System,Model,Reuse,A projected coordinate system is a planar system that uses two-dimensional coordinates and linear distance measurements as units. A projected coordinate system is based on a geographic coordinate system and a map projection.,UTM Zone 14N,Required,No,Horizontal Coordinate System,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/horizontal_coordinate_system.csv
42,Core,Horizontal Datum,Model,Reuse,A horizontal datum is a specified coordinate system for a collection of positions on the surface of the earth. Horizontal datums define the geometric relationship between a coordinate system grid and the Earth's surface.,WGS84,Required,No,TBD,TBD,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/horizontal_datum.csv
43,Core,Identifier,Model,Administrative,The REDI unique identifier for the digital object.,,Required_internal,No,None,No,REDI Identifier: UUID,None
45,Core,Keyword Term,Model,Discovery,Subject matter keywords,"storm surges, drought",Required,No,Keyword Vocabulary,Yes,Array:Text,None
47,Core,Keyword Vocabulary,Model,Discovery,Vocabulary for subject matter keywords listed in Keyword Term.,"AGROVOC, USGS",Recommended,Yes,Keyword Terms,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/keyword_vocabulary.csv
49,Core,License,Model,Administrative,License associated with the digital object.,,Optional,No,None,No,Text,None
51,Core,Model Dimension,Model,Discovery,"Dimensionality choice of a terrain model (1D, 2D, 3D, or combos) created prior to running hydro model computations.",,Required,No,,Yes,,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/model_dimension.csv
52,Core,Model Software Name,Model,Discovery,The name of the model software used to create or work with the digital object.,HEC-RAS,Required ,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/software.csv
53,Core,Model Software Version,Model,Discovery,The version of the software used to create or work with the digital object.,2.0.1,Required,No,None,No,Numeric,None
54,Core,Model Type,Model,Discovery,The type of model.,"Hydrauilic, Meteorologic",Required,No,None,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/model_type.csv
55,Core,Object Version,Model,Administrative,Version number of the digital object.,,Optional,No,None,No,None,None
61,Core,Purpose,Model,Discovery,A description of the purpose for the creation of this digital object and/or the expected use.,"For future flood forecasting, predicting severity of future floods, and delineating floodplain maps
",Optional,No,None,No,Text,None
62,Core,Scale,Model,Coverage,The scale of the dataset ,"global, national, regional, local",Recommended,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/scale_range.csv
63,Core,Service Endpoint Type,Model,Access,The type of service endpoint used for distribution.,Feature layer service,Strongly Recommended,No,Service Endpoint URL,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/service_endpoint_type.csv
66,Core,Spatial Extent (Decimal Degrees),Model,Coverage,"Coordinates for the bounding box describing the spatial extent covered by the digital object, in decimal degrees.","31.555, 27.555, -97.555, -101.555 ",Required,No,None,Yes,Array: Decimal Degrees or Geometry: Polygon,None
68,Core,Time Period Covered,Model,Coverage,"Time period to which the data refer as a single date-time or an interval. Must conform to the ISO 8601 standard. This reflects the time period covered by the data, not the dates of coding or making documents machine-readable or the dates the data were collected. Also known as the ""span"" covered by the data, this may reflect the dates during which an event occured.",09-09-2017/10-10-2017,Recommended,No,None,Yes,Date: ISO 8601,None
69,Core,Title,Model,Discovery,A name given to the digital object.,USGS High Water Marks,Required,No,None,No,Text,None
70,Core,Update Frequency,Model,Administrative,How often the content is updated.,"Hourly, Monthly, Realtime",Required,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/update_frequency.csv
71,Core,Use Constraint,Model,Administrative,Constraints or restrictions on use of the digital object.,"Public, Limited, Restricted",Required,No,None,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/use_constraint.csv
72,Core,Vertical Accuracy (Meters),Model,Reuse,Numeric value for the accuracy in meters.,2 meters,Required,No,None,Yes,Numeric,None
73,Core,Vertical Accuracy Method,Model,Reuse,Method for determining accuracy of the data.,"Vertical elevations based on contours and benchmarks on USGS Topos.
",Optional,No,None,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/collection_method.csv
74,Core,Vertical Coordinate System,Model,Reuse,A vertical coordinate system defines the origin for height or depth values. They are used as a reference for specifying heights.,NGVD_1929,Optional,No,None,No,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/vertical_coordinate_system.csv
75,Core,Vertical Datum,Model,Reuse,A vertical datum is a surface of zero elevation to which heights of various points are referenced. ,"NAVD88, NAVD1929",Optional,Yes,None,Yes,Controlled Terms,https://github.com/In-For-Disaster-Analytics/metadata-schema/blob/main/controlled_terms/vertical_datum.csv
